src,dst,weight
0,9841,0.584962500721
0,14762,-0.415037499279
1,1,0.584962500721
1,9842,-0.415037499279
2,9844,0.584962500721
2,4922,-0.415037499279
3,4,0.584962500721
3,2,-0.415037499279
4,9847,0.584962500721
4,14765,-0.415037499279
5,7,0.584962500721
5,9845,-0.415037499279
6,9850,0.584962500721
6,4925,-0.415037499279
7,10,0.584962500721
7,5,-0.415037499279
8,9853,0.584962500721
8,14768,-0.415037499279
9,13,0.584962500721
9,9848,-0.415037499279
10,9856,0.584962500721
10,4928,-0.415037499279
11,16,0.584962500721
11,8,-0.415037499279
12,9859,0.584962500721
12,14771,-0.415037499279
13,19,0.584962500721
13,9851,-0.415037499279
14,9862,0.584962500721
14,4931,-0.415037499279
15,22,0.584962500721
15,11,-0.415037499279
16,9865,0.584962500721
16,14774,-0.415037499279
17,25,0.584962500721
17,9854,-0.415037499279
18,9868,0.584962500721
18,4934,-0.415037499279
19,28,0.584962500721
19,14,-0.415037499279
20,9871,0.584962500721
20,14777,-0.415037499279
21,31,0.584962500721
21,9857,-0.415037499279
22,9874,0.584962500721
22,4937,-0.415037499279
23,34,0.584962500721
23,17,-0.415037499279
24,9877,0.584962500721
24,14780,-0.415037499279
25,37,0.584962500721
25,9860,-0.415037499279
26,9880,0.584962500721
26,4940,-0.415037499279
27,40,0.584962500721
27,20,-0.415037499279
28,9883,0.584962500721
28,14783,-0.415037499279
29,43,0.584962500721
29,9863,-0.415037499279
30,9886,0.584962500721
30,4943,-0.415037499279
31,46,0.584962500721
31,23,-0.415037499279
32,9889,0.584962500721
32,14786,-0.415037499279
33,49,0.584962500721
33,9866,-0.415037499279
34,9892,0.584962500721
34,4946,-0.415037499279
35,52,0.584962500721
35,26,-0.415037499279
36,9895,0.584962500721
36,14789,-0.415037499279
37,55,0.584962500721
37,9869,-0.415037499279
38,9898,0.584962500721
38,4949,-0.415037499279
39,58,0.584962500721
39,29,-0.415037499279
40,9901,0.584962500721
40,14792,-0.415037499279
41,61,0.584962500721
41,9872,-0.415037499279
42,9904,0.584962500721
42,4952,-0.415037499279
43,64,0.584962500721
43,32,-0.415037499279
44,9907,0.584962500721
44,14795,-0.415037499279
45,67,0.584962500721
45,9875,-0.415037499279
46,9910,0.584962500721
46,4955,-0.415037499279
47,70,0.584962500721
47,35,-0.415037499279
48,9913,0.584962500721
48,14798,-0.415037499279
49,73,0.584962500721
49,9878,-0.415037499279
50,9916,0.584962500721
50,4958,-0.415037499279
51,76,0.584962500721
51,38,-0.415037499279
52,9919,0.584962500721
52,14801,-0.415037499279
53,79,0.584962500721
53,9881,-0.415037499279
54,9922,0.584962500721
54,4961,-0.415037499279
55,82,0.584962500721
55,41,-0.415037499279
56,9925,0.584962500721
56,14804,-0.415037499279
57,85,0.584962500721
57,9884,-0.415037499279
58,9928,0.584962500721
58,4964,-0.415037499279
59,88,0.584962500721
59,44,-0.415037499279
60,9931,0.584962500721
60,14807,-0.415037499279
61,91,0.584962500721
61,9887,-0.415037499279
62,9934,0.584962500721
62,4967,-0.415037499279
63,94,0.584962500721
63,47,-0.415037499279
64,9937,0.584962500721
64,14810,-0.415037499279
65,97,0.584962500721
65,9890,-0.415037499279
66,9940,0.584962500721
66,4970,-0.415037499279
67,100,0.584962500721
67,50,-0.415037499279
68,9943,0.584962500721
68,14813,-0.415037499279
69,103,0.584962500721
69,9893,-0.415037499279
70,9946,0.584962500721
70,4973,-0.415037499279
71,106,0.584962500721
71,53,-0.415037499279
72,9949,0.584962500721
72,14816,-0.415037499279
73,109,0.584962500721
73,9896,-0.415037499279
74,9952,0.584962500721
74,4976,-0.415037499279
75,112,0.584962500721
75,56,-0.415037499279
76,9955,0.584962500721
76,14819,-0.415037499279
77,115,0.584962500721
77,9899,-0.415037499279
78,9958,0.584962500721
78,4979,-0.415037499279
79,118,0.584962500721
79,59,-0.415037499279
80,9961,0.584962500721
80,14822,-0.415037499279
81,121,0.584962500721
81,9902,-0.415037499279
82,9964,0.584962500721
82,4982,-0.415037499279
83,124,0.584962500721
83,62,-0.415037499279
84,9967,0.584962500721
84,14825,-0.415037499279
85,127,0.584962500721
85,9905,-0.415037499279
86,9970,0.584962500721
86,4985,-0.415037499279
87,130,0.584962500721
87,65,-0.415037499279
88,9973,0.584962500721
88,14828,-0.415037499279
89,133,0.584962500721
89,9908,-0.415037499279
90,9976,0.584962500721
90,4988,-0.415037499279
91,136,0.584962500721
91,68,-0.415037499279
92,9979,0.584962500721
92,14831,-0.415037499279
93,139,0.584962500721
93,9911,-0.415037499279
94,9982,0.584962500721
94,4991,-0.415037499279
95,142,0.584962500721
95,71,-0.415037499279
96,9985,0.584962500721
96,14834,-0.415037499279
97,145,0.584962500721
97,9914,-0.415037499279
98,9988,0.584962500721
98,4994,-0.415037499279
99,148,0.584962500721
99,74,-0.415037499279
100,9991,0.584962500721
100,14837,-0.415037499279
101,151,0.584962500721
101,9917,-0.415037499279
102,9994,0.584962500721
102,4997,-0.415037499279
103,154,0.584962500721
103,77,-0.415037499279
104,9997,0.584962500721
104,14840,-0.415037499279
105,157,0.584962500721
105,9920,-0.415037499279
106,10000,0.584962500721
106,5000,-0.415037499279
107,160,0.584962500721
107,80,-0.415037499279
108,10003,0.584962500721
108,14843,-0.415037499279
109,163,0.584962500721
109,9923,-0.415037499279
110,10006,0.584962500721
110,5003,-0.415037499279
111,166,0.584962500721
111,83,-0.415037499279
