src,dst,weight,k
0,9841,0.584962500721,1
0,14762,-0.415037499279,2
1,1,0.584962500721,1
1,9842,-0.415037499279,2
2,9844,0.584962500721,1
2,4922,-0.415037499279,2
3,4,0.584962500721,1
3,2,-0.415037499279,2
4,9847,0.584962500721,1
4,14765,-0.415037499279,2
5,7,0.584962500721,1
5,9845,-0.415037499279,2
6,9850,0.584962500721,1
6,4925,-0.415037499279,2
7,10,0.584962500721,1
7,5,-0.415037499279,2
8,9853,0.584962500721,1
8,14768,-0.415037499279,2
9,13,0.584962500721,1
9,9848,-0.415037499279,2
10,9856,0.584962500721,1
10,4928,-0.415037499279,2
11,16,0.584962500721,1
11,8,-0.415037499279,2
12,9859,0.584962500721,1
12,14771,-0.415037499279,2
13,19,0.584962500721,1
13,9851,-0.415037499279,2
14,9862,0.584962500721,1
14,4931,-0.415037499279,2
15,22,0.584962500721,1
15,11,-0.415037499279,2
16,9865,0.584962500721,1
16,14774,-0.415037499279,2
17,25,0.584962500721,1
17,9854,-0.415037499279,2
18,9868,0.584962500721,1
18,4934,-0.415037499279,2
19,28,0.584962500721,1
19,14,-0.415037499279,2
20,9871,0.584962500721,1
20,14777,-0.415037499279,2
21,31,0.584962500721,1
21,9857,-0.415037499279,2
22,9874,0.584962500721,1
22,4937,-0.415037499279,2
23,34,0.584962500721,1
23,17,-0.415037499279,2
24,9877,0.584962500721,1
24,14780,-0.415037499279,2
25,37,0.584962500721,1
25,9860,-0.415037499279,2
26,9880,0.584962500721,1
26,4940,-0.415037499279,2
27,40,0.584962500721,1
27,20,-0.415037499279,2
28,9883,0.584962500721,1
28,14783,-0.415037499279,2
29,43,0.584962500721,1
29,9863,-0.415037499279,2
30,9886,0.584962500721,1
30,4943,-0.415037499279,2
31,46,0.584962500721,1
31,23,-0.415037499279,2
32,9889,0.584962500721,1
32,14786,-0.415037499279,2
33,49,0.584962500721,1
33,9866,-0.415037499279,2
34,9892,0.584962500721,1
34,4946,-0.415037499279,2
35,52,0.584962500721,1
35,26,-0.415037499279,2
36,9895,0.584962500721,1
36,14789,-0.415037499279,2
37,55,0.584962500721,1
37,9869,-0.415037499279,2
38,9898,0.584962500721,1
38,4949,-0.415037499279,2
39,58,0.584962500721,1
39,29,-0.415037499279,2
40,9901,0.584962500721,1
40,14792,-0.415037499279,2
41,61,0.584962500721,1
41,9872,-0.415037499279,2
42,9904,0.584962500721,1
42,4952,-0.415037499279,2
43,64,0.584962500721,1
43,32,-0.415037499279,2
44,9907,0.584962500721,1
44,14795,-0.415037499279,2
45,67,0.584962500721,1
45,9875,-0.415037499279,2
46,9910,0.584962500721,1
46,4955,-0.415037499279,2
47,70,0.584962500721,1
47,35,-0.415037499279,2
48,9913,0.584962500721,1
48,14798,-0.415037499279,2
49,73,0.584962500721,1
49,9878,-0.415037499279,2
50,9916,0.584962500721,1
50,4958,-0.415037499279,2
51,76,0.584962500721,1
51,38,-0.415037499279,2
52,9919,0.584962500721,1
52,14801,-0.415037499279,2
53,79,0.584962500721,1
53,9881,-0.415037499279,2
54,9922,0.584962500721,1
54,4961,-0.415037499279,2
55,82,0.584962500721,1
55,41,-0.415037499279,2
56,9925,0.584962500721,1
56,14804,-0.415037499279,2
57,85,0.584962500721,1
57,9884,-0.415037499279,2
58,9928,0.584962500721,1
58,4964,-0.415037499279,2
59,88,0.584962500721,1
59,44,-0.415037499279,2
60,9931,0.584962500721,1
60,14807,-0.415037499279,2
61,91,0.584962500721,1
61,9887,-0.415037499279,2
62,9934,0.584962500721,1
62,4967,-0.415037499279,2
63,94,0.584962500721,1
63,47,-0.415037499279,2
64,9937,0.584962500721,1
64,14810,-0.415037499279,2
65,97,0.584962500721,1
65,9890,-0.415037499279,2
