src,dst,weight
0,29524,0.584962500721
0,14762,-0.415037499279
1,1,0.584962500721
1,29525,-0.415037499279
2,29527,0.584962500721
2,44288,-0.415037499279
3,4,0.584962500721
3,2,-0.415037499279
4,29530,0.584962500721
4,14765,-0.415037499279
5,7,0.584962500721
5,29528,-0.415037499279
6,29533,0.584962500721
6,44291,-0.415037499279
7,10,0.584962500721
7,5,-0.415037499279
8,29536,0.584962500721
8,14768,-0.415037499279
9,13,0.584962500721
9,29531,-0.415037499279
10,29539,0.584962500721
10,44294,-0.415037499279
11,16,0.584962500721
11,8,-0.415037499279
12,29542,0.584962500721
12,14771,-0.415037499279
13,19,0.584962500721
13,29534,-0.415037499279
14,29545,0.584962500721
14,44297,-0.415037499279
15,22,0.584962500721
15,11,-0.415037499279
16,29548,0.584962500721
16,14774,-0.415037499279
17,25,0.584962500721
17,29537,-0.415037499279
18,29551,0.584962500721
18,44300,-0.415037499279
19,28,0.584962500721
19,14,-0.415037499279
20,29554,0.584962500721
20,14777,-0.415037499279
21,31,0.584962500721
21,29540,-0.415037499279
22,29557,0.584962500721
22,44303,-0.415037499279
23,34,0.584962500721
23,17,-0.415037499279
24,29560,0.584962500721
24,14780,-0.415037499279
25,37,0.584962500721
25,29543,-0.415037499279
26,29563,0.584962500721
26,44306,-0.415037499279
27,40,0.584962500721
27,20,-0.415037499279
28,29566,0.584962500721
28,14783,-0.415037499279
29,43,0.584962500721
29,29546,-0.415037499279
30,29569,0.584962500721
30,44309,-0.415037499279
31,46,0.584962500721
31,23,-0.415037499279
32,29572,0.584962500721
32,14786,-0.415037499279
33,49,0.584962500721
33,29549,-0.415037499279
34,29575,0.584962500721
34,44312,-0.415037499279
35,52,0.584962500721
35,26,-0.415037499279
36,29578,0.584962500721
36,14789,-0.415037499279
37,55,0.584962500721
37,29552,-0.415037499279
38,29581,0.584962500721
38,44315,-0.415037499279
39,58,0.584962500721
39,29,-0.415037499279
40,29584,0.584962500721
40,14792,-0.415037499279
41,61,0.584962500721
41,29555,-0.415037499279
42,29587,0.584962500721
42,44318,-0.415037499279
43,64,0.584962500721
43,32,-0.415037499279
44,29590,0.584962500721
44,14795,-0.415037499279
45,67,0.584962500721
45,29558,-0.415037499279
46,29593,0.584962500721
46,44321,-0.415037499279
47,70,0.584962500721
47,35,-0.415037499279
48,29596,0.584962500721
48,14798,-0.415037499279
49,73,0.584962500721
49,29561,-0.415037499279
50,29599,0.584962500721
50,44324,-0.415037499279
51,76,0.584962500721
51,38,-0.415037499279
52,29602,0.584962500721
52,14801,-0.415037499279
53,79,0.584962500721
53,29564,-0.415037499279
54,29605,0.584962500721
54,44327,-0.415037499279
55,82,0.584962500721
55,41,-0.415037499279
56,29608,0.584962500721
56,14804,-0.415037499279
57,85,0.584962500721
57,29567,-0.415037499279
58,29611,0.584962500721
58,44330,-0.415037499279
59,88,0.584962500721
59,44,-0.415037499279
60,29614,0.584962500721
60,14807,-0.415037499279
61,91,0.584962500721
61,29570,-0.415037499279
62,29617,0.584962500721
62,44333,-0.415037499279
63,94,0.584962500721
63,47,-0.415037499279
64,29620,0.584962500721
64,14810,-0.415037499279
65,97,0.584962500721
65,29573,-0.415037499279
66,29623,0.584962500721
66,44336,-0.415037499279
67,100,0.584962500721
67,50,-0.415037499279
68,29626,0.584962500721
68,14813,-0.415037499279
69,103,0.584962500721
69,29576,-0.415037499279
70,29629,0.584962500721
70,44339,-0.415037499279
71,106,0.584962500721
71,53,-0.415037499279
72,29632,0.584962500721
72,14816,-0.415037499279
73,109,0.584962500721
73,29579,-0.415037499279
74,29635,0.584962500721
74,44342,-0.415037499279
75,112,0.584962500721
75,56,-0.415037499279
76,29638,0.584962500721
76,14819,-0.415037499279
77,115,0.584962500721
77,29582,-0.415037499279
78,29641,0.584962500721
78,44345,-0.415037499279
79,118,0.584962500721
79,59,-0.415037499279
80,29644,0.584962500721
80,14822,-0.415037499279
81,121,0.584962500721
81,29585,-0.415037499279
82,29647,0.584962500721
82,44348,-0.415037499279
83,124,0.584962500721
83,62,-0.415037499279
84,29650,0.584962500721
84,14825,-0.415037499279
85,127,0.584962500721
85,29588,-0.415037499279
86,29653,0.584962500721
86,44351,-0.415037499279
87,130,0.584962500721
87,65,-0.415037499279
88,29656,0.584962500721
88,14828,-0.415037499279
89,133,0.584962500721
89,29591,-0.415037499279
90,29659,0.584962500721
90,44354,-0.415037499279
91,136,0.584962500721
91,68,-0.415037499279
92,29662,0.584962500721
92,14831,-0.415037499279
93,139,0.584962500721
93,29594,-0.415037499279
94,29665,0.584962500721
94,44357,-0.415037499279
95,142,0.584962500721
95,71,-0.415037499279
96,29668,0.584962500721
96,14834,-0.415037499279
97,145,0.584962500721
97,29597,-0.415037499279
98,29671,0.584962500721
98,44360,-0.415037499279
99,148,0.584962500721
99,74,-0.415037499279
100,29674,0.584962500721
100,14837,-0.415037499279
101,151,0.584962500721
101,29600,-0.415037499279
102,29677,0.584962500721
102,44363,-0.415037499279
103,154,0.584962500721
103,77,-0.415037499279
104,29680,0.584962500721
104,14840,-0.415037499279
105,157,0.584962500721
105,29603,-0.415037499279
106,29683,0.584962500721
106,44366,-0.415037499279
107,160,0.584962500721
107,80,-0.415037499279
108,29686,0.584962500721
108,14843,-0.415037499279
109,163,0.584962500721
109,29606,-0.415037499279
110,29689,0.584962500721
110,44369,-0.415037499279
111,166,0.584962500721
111,83,-0.415037499279
112,29692,0.584962500721
112,14846,-0.415037499279
113,169,0.584962500721
113,29609,-0.415037499279
114,29695,0.584962500721
114,44372,-0.415037499279
115,172,0.584962500721
115,86,-0.415037499279
116,29698,0.584962500721
116,14849,-0.415037499279
117,175,0.584962500721
117,29612,-0.415037499279
118,29701,0.584962500721
118,44375,-0.415037499279
119,178,0.584962500721
119,89,-0.415037499279
120,29704,0.584962500721
120,14852,-0.415037499279
121,181,0.584962500721
121,29615,-0.415037499279
122,29707,0.584962500721
122,44378,-0.415037499279
123,184,0.584962500721
123,92,-0.415037499279
124,29710,0.584962500721
124,14855,-0.415037499279
125,187,0.584962500721
125,29618,-0.415037499279
126,29713,0.584962500721
126,44381,-0.415037499279
127,190,0.584962500721
127,95,-0.415037499279
128,29716,0.584962500721
128,14858,-0.415037499279
129,193,0.584962500721
129,29621,-0.415037499279
130,29719,0.584962500721
130,44384,-0.415037499279
131,196,0.584962500721
131,98,-0.415037499279
132,29722,0.584962500721
132,14861,-0.415037499279
133,199,0.584962500721
133,29624,-0.415037499279
134,29725,0.584962500721
134,44387,-0.415037499279
135,202,0.584962500721
135,101,-0.415037499279
136,29728,0.584962500721
136,14864,-0.415037499279
137,205,0.584962500721
137,29627,-0.415037499279
138,29731,0.584962500721
138,44390,-0.415037499279
139,208,0.584962500721
139,104,-0.415037499279
140,29734,0.584962500721
140,14867,-0.415037499279
141,211,0.584962500721
141,29630,-0.415037499279
142,29737,0.584962500721
142,44393,-0.415037499279
143,214,0.584962500721
143,107,-0.415037499279
144,29740,0.584962500721
144,14870,-0.415037499279
145,217,0.584962500721
145,29633,-0.415037499279
146,29743,0.584962500721
146,44396,-0.415037499279
147,220,0.584962500721
147,110,-0.415037499279
