node,h
0,-0.000041361214
1,-0.415078473559
2,-0.152026878664
3,-0.245132210930
4,-0.067164026866
5,-0.052483807102
6,-0.043199747458
7,-0.089005611002
8,-0.031824491443
9,-0.028047405877
10,-0.025275929951
11,-0.054540495818
12,-0.020810293518
13,-0.019205968055
14,-0.017791182504
15,-0.071024546481
16,-0.015836163700
17,-0.014541089975
18,-0.013718578972
19,-0.030726166086
20,-0.012315702170
21,-0.011879635598
22,-0.011174318248
23,-0.025184262049
24,-0.010269327329
25,-0.009812809758
26,-0.009431779856
27,-0.021356769648
28,-0.008843473856
29,-0.008467181416
30,-0.008331089980
31,-0.033042307697
32,-0.007719835709
33,-0.007618904583
34,-0.007167758740
35,-0.016380468372
36,-0.006784066010
37,-0.006609945336
38,-0.007434424517
39,-0.014695063002
40,-0.006138698133
41,-0.006081294985
42,-0.005851141633
43,-0.013362326724
44,-0.005563698004
45,-0.005807780000
46,-0.005361782516
47,-0.021538101362
48,-0.005218747342
49,-0.005005631485
50,-0.005013959375
51,-0.012183882362
52,-0.004960330108
53,-0.004583018387
54,-0.004539101631
55,-0.010482401979
56,-0.004459439107
57,-0.004304342789
58,-0.004203736508
59,-0.009664024211
60,-0.004132650431
61,-0.004060257172
62,-0.004003122176
63,-0.025376095531
64,-0.003822838836
65,-0.003805068670
66,-0.003714255597
67,-0.008621140801
68,-0.003748064822
69,-0.003565309204
70,-0.003538078014
71,-0.007985547705
72,-0.003518663909
73,-0.003330987287
74,-0.003313770309
75,-0.007679267856
76,-0.003254378333
77,-0.003690549051
78,-0.003250338241
79,-0.012719751835
80,-0.003040721517
81,-0.003044895507
82,-0.002983731242
83,-0.006910645470
84,-0.002968714092
85,-0.002959471582
86,-0.002831083723
87,-0.006578081215
88,-0.002780576166
89,-0.002806979322
90,-0.002723455104
91,-0.006398446143
92,-0.002723908208
93,-0.002647399008
94,-0.002854446908
95,-0.010523670142
96,-0.002599025714
97,-0.002561923052
98,-0.002495110581
99,-0.005748743635
100,-0.002476303496
101,-0.002473064636
102,-0.002622225694
103,-0.006030417394
104,-0.002354493391
105,-0.002480568586
106,-0.002332148944
107,-0.005292623331
108,-0.002295420317
109,-0.002278885219
110,-0.002279332961
111,-0.009080944579
112,-0.002204480853
113,-0.002212687441
114,-0.002223403937
115,-0.004925477482
116,-0.002685141019
117,-0.002102295350
118,-0.002100661253
119,-0.004830588543
120,-0.002191052846
121,-0.002038905721
122,-0.002009463041
123,-0.004681352416
124,-0.002069378842
125,-0.002012496377
126,-0.002328724220
127,-0.012419130932
128,-0.001955422870
129,-0.001998594253
130,-0.001896377674
131,-0.004332385280
132,-0.001904397939
133,-0.001952941143
134,-0.001838594092
135,-0.004255611984
136,-0.001892468070
137,-0.001970566289
138,-0.001774384183
139,-0.004085472636
140,-0.001780495754
141,-0.001813223654
142,-0.001780532123
143,-0.006974927834
144,-0.001717353657
145,-0.001726858429
146,-0.001721854918
147,-0.003915619216
148,-0.001737038851
149,-0.001638890231
150,-0.001724668812
151,-0.003805400250
152,-0.001640659217
153,-0.001644928494
154,-0.001648868532
155,-0.004236535395
156,-0.001715326230
157,-0.001621794981
158,-0.001684045126
159,-0.006342748865
160,-0.001531540712
161,-0.001509106174
162,-0.001534371158
163,-0.003484319842
164,-0.001509833719
165,-0.001500518711
166,-0.001491924302
167,-0.003451841121
168,-0.001544928891
169,-0.001589811752
170,-0.001493144836
171,-0.003360920999
172,-0.001808919962
173,-0.001469601563
174,-0.001477275034
175,-0.005705587761
176,-0.001403828836
177,-0.001419992604
178,-0.001447167448
179,-0.003180947674
180,-0.001616830988
181,-0.001378988110
182,-0.001346059998
183,-0.003283422635
184,-0.001383582069
185,-0.001348060913
186,-0.001373883253
187,-0.003065119597
188,-0.001354643527
189,-0.001484016897
190,-0.001363177463
191,-0.008232504272
192,-0.001307058408
193,-0.001274722130
194,-0.001499027439
195,-0.002953495965
196,-0.001275615916
197,-0.001244223493
198,-0.001260981682
199,-0.002845640704
200,-0.001315544160
201,-0.001261296388
202,-0.001237224112
203,-0.002823502042
204,-0.001272164813
205,-0.001335164554
206,-0.001320379979
207,-0.005396396404
208,-0.001186858379
209,-0.001189670703
210,-0.001275451277
211,-0.002821797390
212,-0.001179827370
213,-0.001192385654
