node,h
0,-0.000028868407
1,-0.415051313165
2,-0.152015522346
3,-0.245123569384
4,-0.067130426860
5,-0.052481076627
6,-0.043177433816
7,-0.089005595299
8,-0.031716787632
9,-0.028042438252
10,-0.025119527809
11,-0.054435506778
12,-0.020799786293
13,-0.019177060101
14,-0.017718610737
15,-0.070922272213
16,-0.015640656990
17,-0.014505031825
18,-0.013708619729
19,-0.030656309091
20,-0.012321999475
21,-0.011804499708
22,-0.011168453398
23,-0.025150918671
24,-0.010226019882
25,-0.009796837240
26,-0.009437235792
27,-0.021365781725
28,-0.008846222638
29,-0.008423249072
30,-0.008264179402
31,-0.033011679090
32,-0.007674797641
33,-0.007523928482
34,-0.007179281222
35,-0.016388639081
36,-0.006772894464
37,-0.006584179484
38,-0.006415014181
39,-0.014653845430
40,-0.006098007780
41,-0.005957212438
42,-0.005809885831
43,-0.013320003429
44,-0.005546725165
45,-0.005416905935
46,-0.005288099711
47,-0.021548986843
48,-0.005070675202
49,-0.004976408159
50,-0.004984689491
51,-0.011167186799
52,-0.004667481116
53,-0.004586568485
54,-0.004522210040
55,-0.010361034204
56,-0.004340471640
57,-0.004312949007
58,-0.004189622784
59,-0.009649766144
60,-0.004097876328
61,-0.004041570894
62,-0.003916911094
63,-0.025389695784
64,-0.003824154056
65,-0.003789004569
66,-0.003679075461
67,-0.008594585690
68,-0.003569072206
69,-0.003517742382
70,-0.003475601251
71,-0.007991812575
72,-0.003462214710
73,-0.003328423666
74,-0.003292231245
75,-0.007563015161
76,-0.003212571448
77,-0.003150303236
78,-0.003129189494
79,-0.012708208539
80,-0.003032378426
81,-0.003020868904
82,-0.002968860975
83,-0.006827149160
84,-0.002934420653
85,-0.002854065622
86,-0.002851614119
87,-0.006564731886
88,-0.002768719775
89,-0.002732696613
90,-0.002727302403
91,-0.006222168298
92,-0.002693188675
93,-0.002618253714
94,-0.002811271254
95,-0.010532649784
96,-0.002536038030
97,-0.002498112700
98,-0.002499583881
99,-0.005729919343
100,-0.002460171824
101,-0.002470315736
102,-0.002574580222
103,-0.005492886351
104,-0.002323967493
105,-0.002319354829
106,-0.002290564096
107,-0.005286995013
108,-0.002295208472
109,-0.002256181870
110,-0.002203112728
111,-0.009000163041
112,-0.002168669835
113,-0.002148173951
114,-0.002166288448
115,-0.004948722650
116,-0.002424567588
117,-0.002090442007
118,-0.002088534231
119,-0.004759020607
120,-0.002021200561
121,-0.002044234493
122,-0.001999042235
123,-0.004653347655
124,-0.002022643206
125,-0.001982158087
126,-0.001939622690
127,-0.012430825346
128,-0.001907571545
129,-0.001902233584
130,-0.001883706369
131,-0.004339573352
132,-0.001845102661
133,-0.001834433531
134,-0.001815557139
135,-0.004255577857
136,-0.001791465354
137,-0.001898485488
138,-0.001771241520
139,-0.004057661510
140,-0.001751561924
141,-0.001753051218
142,-0.001717496437
143,-0.006972014287
144,-0.001707683558
145,-0.001711642220
146,-0.001706781459
147,-0.003842113756
148,-0.001659861374
149,-0.001637081433
150,-0.001636785656
151,-0.003743601532
152,-0.001641092808
153,-0.001615485200
154,-0.001598012094
155,-0.003978676736
156,-0.001607292981
157,-0.001549674494
158,-0.001625418951
159,-0.006273895700
160,-0.001528967423
161,-0.001500777724
162,-0.001521801930
163,-0.003476613808
164,-0.001487123125
165,-0.001475528327
166,-0.001495065229
167,-0.003424217603
168,-0.001520250480
169,-0.001465252612
170,-0.001462370322
171,-0.003315784446
172,-0.001717203987
173,-0.001411523917
174,-0.001417852032
175,-0.005715490605
176,-0.001378783411
177,-0.001379563219
178,-0.001361570533
179,-0.003160625493
180,-0.001365401754
181,-0.001360597382
182,-0.001356556130
183,-0.003214056606
184,-0.001315169581
185,-0.001333106675
186,-0.001324359706
187,-0.003038900540
188,-0.001314708591
189,-0.001479980933
190,-0.001303487265
191,-0.008232305498
192,-0.001265719948
193,-0.001259958656
194,-0.001255828322
195,-0.002941137278
196,-0.001263137729
197,-0.001250465341
198,-0.001244076070
199,-0.002846546678
200,-0.001220733766
201,-0.001230182991
202,-0.001227443489
203,-0.002826650405
204,-0.001217697606
205,-0.001276072129
206,-0.001232973524
207,-0.005141252516
208,-0.001177273111
209,-0.001172559014
210,-0.001176195138
211,-0.002765885987
212,-0.001163929409
213,-0.001137414832
214,-0.001152191490
215,-0.002619960264
216,-0.001154675549
217,-0.001144978728
218,-0.001158296522
219,-0.002585800168
220,-0.001160942544
221,-0.001096144612
222,-0.001216913282
223,-0.004503126149
224,-0.001090785311
225,-0.001106284913
226,-0.001086091162
227,-0.002522208338
228,-0.001071131040
229,-0.001075056007
230,-0.001071703369
231,-0.002452953050
232,-0.001058749758
233,-0.001217109523
234,-0.001080442116
235,-0.002402431458
236,-0.001071010655
237,-0.001046360427
238,-0.001046162419
239,-0.004167088677
240,-0.001118401812
241,-0.001016832766
242,-0.001001761345
243,-0.002346401180
244,-0.000999276248
245,-0.001003441161
246,-0.001000073624
247,-0.002306872739
248,-0.000983332786
249,-0.001056821625
250,-0.000977863429
251,-0.002272908998
252,-0.000994337988
253,-0.001010862710
254,-0.000978853010
255,-0.009175429383
256,-0.000978026630
257,-0.000976015153
258,-0.000945540023
259,-0.002184342119
260,-0.000933471931
261,-0.000950416333
262,-0.000972655599
263,-0.002164814169
264,-0.001033025619
265,-0.000934537891
266,-0.000917094840
267,-0.002121342707
268,-0.000935875543
269,-0.000926109699
270,-0.000928436164
271,-0.003713925689
272,-0.000898483185
273,-0.000916326001
274,-0.000917786454
275,-0.002107303627
276,-0.000932744115
277,-0.000881234322
278,-0.000899032362
279,-0.002034315680
280,-0.000879601485
281,-0.000873722470
282,-0.000889145717
283,-0.002013468595
284,-0.000942892254
285,-0.000867639415
286,-0.000985981999
287,-0.003457623022
288,-0.000866886170
289,-0.000845076353
290,-0.000858134321
291,-0.001984409820
292,-0.000837880769
293,-0.000845933669
294,-0.001830149014
295,-0.001911022099
296,-0.000823829477
297,-0.000849844630
298,-0.000839846743
299,-0.001894728029
300,-0.000844372976
301,-0.000810368275
302,-0.000817870649
303,-0.003315505393
304,-0.000818364831
305,-0.000816939177
306,-0.000872004764
307,-0.001854632547
308,-0.000866777116
309,-0.000793911905
310,-0.000873630042
311,-0.001989937882
312,-0.000784678467
313,-0.000818594247
314,-0.000777838812
315,-0.001833995063
316,-0.000792667254
317,-0.000819973782
318,-0.000774067411
319,-0.004920476327
320,-0.000770650642
321,-0.000762073406
322,-0.000771394723
323,-0.001745790234
324,-0.000769844326
325,-0.000772488538
326,-0.000758655151
327,-0.001738340543
328,-0.000896140831
329,-0.000753260976
330,-0.000805258801
331,-0.001709323591
332,-0.000753521883
333,-0.000753900001
334,-0.000741635628
335,-0.002990204233
336,-0.000738400739
337,-0.000756400868
338,-0.000728796808
339,-0.001687658132
340,-0.000720972818
341,-0.000731635372
342,-0.000764659670
343,-0.001676528424
344,-0.000735310621
345,-0.000967313903
346,-0.000723051386
347,-0.001625884748
348,-0.000747463727
349,-0.000704515880
350,-0.000889202745
351,-0.002849311376
352,-0.000718754199
353,-0.000695239430
354,-0.000692528780
355,-0.001593855028
356,-0.000694787030
357,-0.000740853935
358,-0.000696695863
359,-0.001595305479
360,-0.000687781459
361,-0.000689181591
362,-0.000725071713
363,-0.001560281459
364,-0.000720771518
365,-0.000674468489
366,-0.000680043393
367,-0.002761865831
368,-0.000664738769
369,-0.000675956987
370,-0.000676259886
371,-0.001546514705
372,-0.000965390431
373,-0.000670371669
374,-0.000684866971
375,-0.001514276158
376,-0.000674739876
377,-0.000665987599
378,-0.000704574436
379,-0.001576663699
380,-0.000771328692
381,-0.000694388211
382,-0.000637781205
383,-0.004084754043
384,-0.000675341274
385,-0.000640324971
386,-0.000647187988
387,-0.001478762337
388,-0.000635774780
389,-0.000661636765
390,-0.000641080086
391,-0.001460191874
392,-0.000627649473
393,-0.000652741626
394,-0.000623428120
395,-0.001431847018
396,-0.000689758475
397,-0.000619756535
398,-0.000630455632
399,-0.002496630162
400,-0.000620739716
401,-0.000646689789
402,-0.000614974084
403,-0.001413778898
404,-0.000608651153
405,-0.000625953653
406,-0.000623238258
407,-0.001406971478
408,-0.000623473282
409,-0.000618569955
410,-0.000626726890
411,-0.001451047958
412,-0.000641470522
413,-0.000652800265
414,-0.000686492351
415,-0.002568558442
416,-0.000587489050
417,-0.000589505241
418,-0.000615240016
419,-0.001350917079
420,-0.000583457858
421,-0.000584346051
422,-0.000589637629
423,-0.001387614678
424,-0.000585126902
425,-0.000600598824
426,-0.000691528442
427,-0.001332956136
428,-0.000589753712
429,-0.000578626818
430,-0.000608862460
431,-0.002302859457
432,-0.000593213512
433,-0.000591892099
434,-0.000568802381
435,-0.001310584493
436,-0.000565070404
437,-0.000572019209
438,-0.000610080892
439,-0.001300144192
440,-0.000570400071
441,-0.000591213608
442,-0.000568470220
443,-0.001295450185
444,-0.000598307356
445,-0.000660336682
446,-0.000575552764
447,-0.003527266382
448,-0.000637741875
449,-0.000542889190
450,-0.001131673565
451,-0.001261079202
452,-0.000571520573
453,-0.000544223948
454,-0.000550919409
455,-0.001259222127
456,-0.000534895756
457,-0.000543017854
458,-0.000543610816
459,-0.001258283654
460,-0.000557803228
461,-0.000545075865
462,-0.000544173234
463,-0.002144323848
464,-0.000546428130
465,-0.000565039615
466,-0.000542563378
467,-0.001403185651
468,-0.000540294167
469,-0.000534815329
470,-0.000568649049
471,-0.001204841898
472,-0.000546770821
473,-0.000537526285
474,-0.000558020606
475,-0.001200082900
476,-0.000558303015
477,-0.000548775866
478,-0.000602880110
479,-0.002096366742
480,-0.000519516110
481,-0.000557953154
482,-0.000507558083
483,-0.001221968566
484,-0.000578434593
485,-0.000500116812
486,-0.000531711905
487,-0.001167269400
488,-0.000508573173
489,-0.000670070822
490,-0.000503082609
491,-0.001153510533
492,-0.000581353032
493,-0.000502778157
494,-0.000500464406
495,-0.002031322492
496,-0.000523175798
497,-0.000497393360
498,-0.000513745745
499,-0.001165774385
500,-0.000494561902
501,-0.000546949986
502,-0.000500472634
503,-0.001143056727
504,-0.000498244989
505,-0.000509417278
506,-0.000512291846
507,-0.001244620148
508,-0.000507374630
509,-0.000527266925
510,-0.000498047620
511,-0.004554327016
512,-0.000495094181
513,-0.000498600525
514,-0.000519635729
515,-0.001113100288
516,-0.000501478236
517,-0.000478217659
518,-0.000600348198
519,-0.001123944863
520,-0.000478733357
521,-0.000487336143
522,-0.000485475530
523,-0.001086408546
524,-0.000489920227
525,-0.000483683776
526,-0.000490248285
527,-0.001887110982
528,-0.000476871654
529,-0.000522864254
530,-0.000465499746
531,-0.001082277186
532,-0.000487238385
533,-0.000470913858
534,-0.000480863724
535,-0.001095120448
536,-0.000479995619
537,-0.000470574344
538,-0.000472370357
539,-0.001053741285
540,-0.000554228636
541,-0.000464875789
542,-0.000536531793
543,-0.001848770337
544,-0.000449024765
545,-0.000457351933
546,-0.000495264503
547,-0.001065282649
548,-0.000446402325
549,-0.000486532340
550,-0.000461050580
551,-0.001088160045
552,-0.000471218071
553,-0.000535321662
554,-0.000458956941
555,-0.001019698955
556,-0.000459030661
557,-0.000447142040
558,-0.000465927180
559,-0.001780022220
560,-0.000455771471
561,-0.000450667702
562,-0.000486260680
563,-0.001015682157
564,-0.000437891399
565,-0.000445696385
566,-0.000449404453
567,-0.001023625953
568,-0.000443313020
569,-0.000492538509
570,-0.000438728073
571,-0.001009805750
572,-0.000452290527
573,-0.000529450168
574,-0.000441016761
575,-0.002719977825
576,-0.000454319810
577,-0.000430561541
578,-0.000433632332
579,-0.000983027643
580,-0.000464331184
581,-0.000422875682
582,-0.000446334981
583,-0.000983391093
584,-0.000497610124
585,-0.000439830947
586,-0.000476901446
587,-0.000978957493
588,-0.000633292349
589,-0.000913917050
590,-0.000423234687
591,-0.001701231268
592,-0.000415763603
593,-0.000412791319
594,-0.000445121205
595,-0.000978594864
596,-0.000418396234
597,-0.000422089563
598,-0.000433854903
599,-0.000943228913
600,-0.000461949903
601,-0.000425326080
602,-0.000436617447
603,-0.000969193796
604,-0.000454697767
605,-0.000418557689
606,-0.000729351591
607,-0.001654264018
608,-0.000410552777
609,-0.000415879510
610,-0.000456047041
611,-0.000936055851
612,-0.000414255896
613,-0.000432437232
614,-0.000422233472
615,-0.000934957847
616,-0.000402117582
617,-0.000443245524
618,-0.000401410630
619,-0.000933780207
620,-0.000438332374
621,-0.000447918455
622,-0.000405074771
623,-0.001788040331
624,-0.000406267802
625,-0.000397767578
626,-0.000393870014
627,-0.000951038217
628,-0.000666385800
629,-0.000394823668
630,-0.000412769638
631,-0.000917481221
632,-0.000423418557
633,-0.000411461615
634,-0.000420937555
635,-0.000935854407
636,-0.000409726434
637,-0.000440690614
638,-0.000391591294
639,-0.002471544701
640,-0.000447934934
641,-0.000395791817
642,-0.000408876480
643,-0.000880392157
644,-0.000385602381
645,-0.000385739566
646,-0.000400152522
647,-0.000870636001
648,-0.000411239653
649,-0.000399232545
650,-0.000393660133
651,-0.000876805943
652,-0.000409935830
653,-0.000381544235
654,-0.000474438868
655,-0.001519484827
656,-0.000420117250
657,-0.000460579273
658,-0.000545735114
659,-0.000864207660
660,-0.000380964001
661,-0.000399783814
662,-0.000391807532
663,-0.000858932509
664,-0.000391463942
665,-0.000380959148
666,-0.000397783971
667,-0.000853923400
668,-0.000435891538
669,-0.000484907090
670,-0.000449537623
671,-0.001500266553
672,-0.000365469746
673,-0.000368091009
674,-0.000398714884
675,-0.000867375517
676,-0.000390344365
677,-0.000369590642
678,-0.000377186320
679,-0.000880249507
680,-0.000356422498
681,-0.000413535261
682,-0.000374823168
683,-0.000846000299
684,-0.000390494948
685,-0.000385619453
686,-0.000375918464
687,-0.001461954136
688,-0.000386099254
689,-0.000385212364
690,-0.000368905710
691,-0.000947173552
692,-0.000355149046
693,-0.000710791270
694,-0.000363664196
695,-0.000832156365
696,-0.000362416112
697,-0.000377398161
698,-0.000373333565
699,-0.000832758280
700,-0.000374204641
701,-0.000441061259
702,-0.000379090147
703,-0.002227989436
704,-0.000358526081
705,-0.000370006581
706,-0.000353388857
707,-0.000804440788
708,-0.000428185804
709,-0.000348536592
710,-0.000360619156
711,-0.000807939299
712,-0.000358973076
713,-0.000391444536
714,-0.000358363807
715,-0.000815126906
716,-0.000375187676
717,-0.000346108067
718,-0.000356478209
719,-0.001386999506
720,-0.000381359997
721,-0.000346319669
722,-0.000387364134
723,-0.000867937684
724,-0.000368121433
725,-0.000360277792
726,-0.000402545034
727,-0.000786925890
728,-0.000343447033
729,-0.000369548939
730,-0.000383338379
731,-0.000774164407
732,-0.000382258674
733,-0.000343652876
734,-0.000416243702
735,-0.001414129986
736,-0.000346573474
737,-0.000346286351
738,-0.000346366309
739,-0.000783154151
740,-0.000332062177
741,-0.000341731304
742,-0.000385882194
743,-0.000769585618
744,-0.000339448782
745,-0.000685434990
746,-0.000330306981
747,-0.000776480206
748,-0.000351066839
749,-0.000356256766
750,-0.000449037196
751,-0.001334674542
752,-0.000351254134
753,-0.000344033598
754,-0.000326464645
755,-0.000766698684
756,-0.000357330717
757,-0.000372352905
758,-0.000338477139
759,-0.000808152494
760,-0.000321520421
761,-0.000396648467
762,-0.000461247914
763,-0.000766241893
764,-0.000354667531
765,-0.000375158428
766,-0.000336087199
767,-0.003032283924
768,-0.000324492733
769,-0.000335965392
770,-0.000334129503
771,-0.000744310243
772,-0.000376036000
773,-0.000327398623
774,-0.000367979133
775,-0.000731942222
776,-0.000346303551
777,-0.000331652983
778,-0.000332348470
779,-0.000805081850
780,-0.000343429256
781,-0.000329669186
782,-0.000320166817
783,-0.001284850708
784,-0.000334231557
785,-0.000318008896
786,-0.000339045418
787,-0.000727565446
788,-0.000330912495
789,-0.000346948494
790,-0.000348640712
791,-0.000715575432
792,-0.000350789764
793,-0.000343624172
794,-0.000391020516
795,-0.000719649273
796,-0.000514985313
797,-0.000313616225
798,-0.000390928979
799,-0.001242966216
800,-0.000310512890
801,-0.000338816177
802,-0.000313457653
803,-0.000734854123
804,-0.000313816437
805,-0.000308540899
806,-0.000313014611
807,-0.000715308620
808,-0.000309735330
809,-0.000317494685
810,-0.000346675365
811,-0.000705832629
812,-0.000323299686
813,-0.000350866456
814,-0.000306375665
815,-0.001229879069
816,-0.000365538478
817,-0.000319513761
818,-0.000350481574
819,-0.000714614293
820,-0.000303852494
821,-0.000318748429
822,-0.000313213820
823,-0.000734197976
824,-0.000311011506
825,-0.000349099977
826,-0.000302005201
827,-0.000727870281
828,-0.000328214106
829,-0.000372771360
830,-0.000350708073
831,-0.002076177318
832,-0.000311044271
833,-0.000291935897
834,-0.000299924263
835,-0.000680619509
836,-0.000295290878
837,-0.000317522021
838,-0.000336831559
839,-0.000680198908
840,-0.000360515300
841,-0.000305844399
842,-0.000298147394
843,-0.000707432590
844,-0.000333498717
845,-0.000304281506
846,-0.000316988457
847,-0.001218520097
848,-0.000298123323
849,-0.000293613601
850,-0.000316485608
851,-0.000672921321
852,-0.000312041042
853,-0.000343533061
854,-0.000317400027
855,-0.000675798685
856,-0.000305366538
857,-0.000308502516
858,-0.000328148970
859,-0.000664298419
860,-0.000360715701
861,-0.000305939760
862,-0.000478734149
863,-0.001148033366
864,-0.000358558086
865,-0.000293840674
866,-0.000401599355
867,-0.000669770814
868,-0.000286094835
869,-0.000307654259
870,-0.000324296743
871,-0.000656380056
872,-0.000285181396
873,-0.000308880752
874,-0.000296254613
875,-0.000693689872
876,-0.000310967304
877,-0.000303150902
878,-0.000294435920
879,-0.001136528585
880,-0.000283765610
881,-0.000309826410
882,-0.000308713122
883,-0.000662888106
884,-0.000862742466
885,-0.000293396965
886,-0.000289754666
887,-0.000650810564
888,-0.000281598107
889,-0.000315628324
890,-0.000282456442
891,-0.000704524836
892,-0.000305397917
893,-0.000326569333
894,-0.000283668327
895,-0.001767692627
896,-0.000282511618
897,-0.000359260743
898,-0.000312203700
899,-0.000664944481
900,-0.000288974439
901,-0.000561626006
902,-0.000285841895
903,-0.000634634368
904,-0.000304293558
905,-0.000290490794
906,-0.000284189432
907,-0.000620290817
908,-0.000292002167
909,-0.000289867351
910,-0.000284351516
911,-0.001108703538
912,-0.000404793680
913,-0.000301373388
914,-0.000278235189
915,-0.000637466814
916,-0.000276413168
917,-0.000270005467
918,-0.000386522966
919,-0.000645615882
920,-0.000298476474
921,-0.000277709964
922,-0.000290198016
923,-0.000614417660
924,-0.000353343383
925,-0.000278260290
926,-0.000368503625
927,-0.001090299874
928,-0.000279188157
929,-0.000274387979
930,-0.000281536234
931,-0.000630361641
932,-0.000304478251
