D,F(D),Sigma(D),F(Sigma(D))
32599,-79587,12225,-46988
32600,-1474477,48900,-1441877
32601,-84050,24451,-51449
32602,-122257,48903,-89655
32603,-75880,3057,-43277
32604,-490056,48906,-457452
32605,-186089,24454,-153484
32606,-271588,48909,-238982
32607,-129009,12228,-96402
32609,-118495,24457,-85886
32610,-376282,48915,-343672
32611,-50230,6115,-17619
32612,-284842,48918,-252230
32613,-210321,24460,-177708
32615,-59790,12231,-27175
32617,-179820,24463,-147203
32618,-258182,48927,-225564
32619,-38217,765,-5598
32620,-213235,48930,-180615
32621,-165827,24466,-133206
32623,-146432,12234,-113809
32624,-587691,48936,-555067
32625,-317673,24469,-285048
32626,-86398,48939,-53772
32627,-66001,6118,-33374
32628,-665187,48942,-632559
32629,-401047,24472,-368418
32630,-358791,48945,-326161
32631,-82881,12237,-50250
32633,-63662,24475,-31029
32634,-242010,48951,-209376
32635,-74845,3060,-42210
32636,-277909,48954,-245273
32637,-172601,24478,-139964
32638,-508453,48957,-475815
32639,-1008147,12240,-975508
32641,-92652,24481,-60011
32642,-120484,48963,-87842
32643,-50412,6121,-17769
32644,-266527,48966,-233883
32645,-362777,24484,-330132
32646,-167034,48969,-134388
32648,-270600,48972,-237952
32650,-333515,48975,-300865
32651,-36810,1531,-4159
32653,-505605,24490,-472952
32655,-157061,12246,-124406
32656,-662725,48984,-630069
32657,-114143,24493,-81486
32658,-172758,48987,-140100
32659,-144823,6124,-112164
32660,-448662,48990,-416002
32661,-359665,24496,-327004
32662,-236785,48993,-204123
32663,-66071,12249,-33408
32664,-486702,48996,-454038
32665,-78898,24499,-46233
32666,-117180,48999,-84514
32667,-43402,3063,-10735
32668,-321014,49002,-288346
32669,-205489,24502,-172820
32670,-219102,49005,-186432
32671,-153209,12252,-120538
32673,-82080,24505,-49407
32674,-119245,49011,-86571
32675,-50208,6127,-17533
32676,-517902,49014,-485226
32677,-179831,24508,-147154
32678,-127566,49017,-94888
32679,-104389,12255,-71710
32680,-633550,49020,-600870
32681,-161745,24511,-129064
32683,-39042,192,-6359
32684,-226645,49026,-193961
32685,-110728,24514,-78043
32686,-568891,49029,-536205
32687,-264119,12258,-231432
32688,-438350,49032,-405662
32689,-402924,24517,-370235
32690,-86508,49035,-53818
32691,-50500,6130,-17809
32693,-417719,24520,-385026
32694,-225900,49041,-193206
32695,-140273,12261,-107578
32696,-631560,49044,-598864
32697,-93861,24523,-61164
32698,-126607,49047,-93909
32699,-75855,3066,-43156
32700,-203350,49050,-170650
32701,-538871,24526,-506170
32702,-302852,49053,-270150
32703,-290501,12264,-257798
32705,-146920,24529,-114215
32706,-132061,49059,-99355
32707,-160688,6133,-127981
32708,-248205,49062,-215497
32709,-387207,24532,-354498
32710,-303528,49065,-270818
32711,-51145,12267,-18434
32712,-360036,49068,-327324
32713,-541234,24535,-508521
32714,-595674,49071,-562960
32715,-50583,1534,-17868
32716,-161120,49074,-128404
32717,-110133,24538,-77416
32718,-740796,49077,-708078
32719,-347072,12270,-314353
32720,-1332886,49080,-1300166
32721,-137711,24541,-104990
32722,-105617,49083,-72895
32723,-181112,6136,-148389
32724,-534523,49086,-501799
32726,-247477,49089,-214751
32727,-243428,12273,-210701
32728,-364301,49092,-331573
32729,-67758,24547,-35029
32730,-106115,49095,-73385
32731,-166964,3069,-134233
32732,-724288,49098,-691556
32733,-128850,24550,-96117
32734,-196559,49101,-163825
32735,-386578,12276,-353843
32737,-215789,24553,-183052
32738,-329255,49107,-296517
32739,-66214,6139,-33475
32740,-449277,49110,-416537
32741,-677464,24556,-644723
32742,-131044,49113,-98302
32743,-207461,12279,-174718
32744,-464779,49116,-432035
32745,-234709,24559,-201964
32746,-432771,49119,-400025
32747,-94144,768,-61397
32748,-642308,49122,-609560
32749,-120914,24562,-88165
32750,-584583,49125,-551833
32751,-222509,12282,-189758
32753,-557808,24565,-525055
32754,-142514,49131,-109760
32755,-196026,6142,-163271
32757,-790360,24568,-757603
32758,-791247,49137,-758489
32760,-1732191,49140,-1699431
32762,-642902,49143,-610140
32764,-817100,49146,-784336
32765,-957689,24574,-924924
32766,-1051939,49149,-1019173
32769,-127358,24577,-94589
32770,-126967,49155,-94197
32771,-53743,6145,-20972
32772,-255436,49158,-222664
32773,-226400,24580,-193627
32774,-139394,49161,-106620
32775,-53685,12291,-20910
32776,-280844,49164,-248068
32777,-72893,24583,-40116
32778,-158785,49167,-126007
32779,-47451,1537,-14672
32780,-167205,49170,-134425
32781,-150979,24586,-118198
32782,-1893031,49173,-1860249
32783,-85824,12294,-53041
32785,-158603,24589,-125818
32786,-98558,49179,-65772
32787,-78571,6148,-45784
32788,-364716,49182,-331928
32790,-193276,49185,-160486
32791,-68887,12297,-36096
32793,-91582,24595,-58789
32794,-130014,49191,-97220
32795,-53156,3075,-20361
32796,-809826,49194,-777030
32797,-231292,24598,-198495
32798,-284865,49197,-252067
32799,-104287,12300,-71488
32801,-622712,24601,-589911
32802,-648469,49203,-615667
32803,-57970,6151,-25167
32804,-1384822,49206,-1352018
32805,-885208,24604,-852403
32806,-135631,49209,-102825
32807,-73764,12303,-40957
32808,-865004,49212,-832196
32809,-113177,24607,-80368
32810,-1101974,49215,-1069164
32811,-33956,385,-1145
32812,-252717,49218,-219905
32813,-192064,24610,-159251
32815,-81587,12306,-48772
32816,-1278277,49224,-1245461
32817,-353213,24613,-320396
32818,-112934,49227,-80116
32819,-76785,6154,-43966
32820,-1681130,49230,-1648310
32821,-287231,24616,-254410
32823,-270999,12309,-238176
32825,-58204,24619,-25379
32826,-147493,49239,-114667
32827,-61235,3078,-28408
32828,-217396,49242,-184568
32829,-1421010,24622,-1388181
32830,-389403,49245,-356573
32831,-651436,12312,-618605
32833,-286591,24625,-253758
32834,-112268,49251,-79434
32835,-69753,6157,-36918
32836,-297487,49254,-264651
32837,-751047,24628,-718210
32838,-288379,49257,-255541
32839,-46780,12315,-13941
32840,-726839,49260,-693999
32841,-255966,24631,-223125
32842,-310619,49263,-277777
32843,-59439,1540,-26596
32844,-156480,49266,-123636
32845,-146673,24634,-113828
32846,-1360039,49269,-1327193
32847,-126768,12318,-93921
32849,-664844,24637,-631995
32850,-120752,49275,-87902
32851,-222371,6160,-189520
32854,-272547,49281,-239693
32855,-86384,12321,-53529
32856,-799882,49284,-767026
32857,-94522,24643,-61665
32858,-133029,49287,-100171
32859,-39372,3081,-6513
32860,-571454,49290,-538594
32861,-191642,24646,-158781
32862,-305107,49293,-272245
32863,-461615,12324,-428752
32865,-564377,24649,-531512
32866,-602317,49299,-569451
32867,-64329,6163,-31462
32868,-852036,49302,-819168
32869,-150220,24652,-117351
32870,-165482,49305,-132612
32871,-73964,12327,-41093
32872,-1327804,49308,-1294932
32873,-148488,24655,-115615
32874,-227465,49311,-194591
32875,-34165,771,-1290
32876,-499943,49314,-467067
32877,-128852,24658,-95975
32878,-365682,49317,-332804
32879,-379092,12330,-346213
32882,-82724,49323,-49842
32883,-116787,6166,-83904
32884,-542410,49326,-509526
32886,-378951,49329,-346065
32887,-130223,12333,-97336
32889,-62346,24667,-29457
32891,-48282,3084,-15391
32892,-664351,49338,-631459
32893,-669359,24670,-636466
32895,-355356,12336,-322461
32897,-545367,24673,-512470
32898,-570767,49347,-537869
32899,-60111,6169,-27212
32900,-589403,49350,-556503
32901,-891038,24676,-858137
32902,-143653,49353,-110751
32903,-66575,12339,-33672
32904,-317571,49356,-284667
32905,-85858,24679,-52953
32906,-493469,49359,-460563
32907,-35403,1543,-2496
32908,-232832,49362,-199924
32909,-211917,24682,-179008
32911,-201538,12342,-168627
32912,-628650,49368,-595738
32913,-127080,24685,-94167
32914,-1293211,49371,-1260297
32915,-1265057,6172,-1232142
32916,-700085,49374,-667169
32918,-1431791,49377,-1398873
32919,-54897,12345,-21978
32920,-1770762,49380,-1737842
32921,-81070,24691,-48149
32922,-119652,49383,-86730
32923,-51086,3087,-18163
32924,-444195,49386,-411271
32925,-336917,24694,-303992
32926,-184444,49389,-151518
32927,-108918,12348,-75991
32929,-90067,24697,-57138
32930,-442963,49395,-410033
32931,-60985,6175,-28054
32933,-261757,24700,-228824
32934,-138949,49401,-106015
32935,-174118,12351,-141183
32937,-259281,24703,-226344
32938,-730122,49407,-697184
32939,-43301,97,-10362
32940,-297757,49410,-264817
32941,-236543,24706,-203602
32942,-433992,49413,-401050
32943,-80422,12354,-47479
32944,-630008,49416,-597064
32945,-336378,24709,-303433
32946,-101494,49419,-68548
32947,-65204,6178,-32257
32949,-252073,24712,-219124
32950,-219017,49425,-186067
32951,-520949,12357,-487998
32952,-509750,49428,-476798
32953,-59527,24715,-26574
32954,-257889,49431,-224935
32955,-41380,3090,-8425
32956,-358044,49434,-325088
32958,-612693,49437,-579735
32959,-415616,12360,-382657
32961,-153899,24721,-120938
32962,-159865,49443,-126903
32963,-123269,6181,-90306
32964,-276918,49446,-243954
32965,-348942,24724,-315977
32967,-51937,12363,-18970
32968,-441565,49452,-408597
32969,-74189,24727,-41220
32970,-129055,49455,-96085
32971,-42863,1546,-9892
32972,-187406,49458,-154434
32973,-136020,24730,-103047
32974,-736773,49461,-703799
32975,-292847,12366,-259872
32976,-1006776,49464,-973800
32977,-323430,24733,-290453
32978,-127377,49467,-94399
32979,-111343,6184,-78364
32980,-440224,49470,-407244
32982,-331119,49473,-298137
32983,-153046,12369,-120063
32984,-391836,49476,-358852
32985,-73501,24739,-40516
32986,-112158,49479,-79172
32987,-115442,3093,-82455
32988,-370196,49482,-337208
32989,-132077,24742,-99088
32990,-395014,49485,-362024
32993,-208040,24745,-175047
32994,-756485,49491,-723491
32995,-49447,6187,-16452
32996,-364603,49494,-331607
32997,-183846,24748,-150849
32998,-160285,49497,-127287
32999,-60021,12375,-27022
33000,-431614,49500,-398614
33001,-87482,24751,-54481
33002,-520040,49503,-487038
33003,-36319,774,-3316
33004,-293351,49506,-260347
33005,-103320,24754,-70315
33006,-290747,49509,-257741
33007,-77604,12378,-44597
33009,-233021,24757,-200012
33010,-85067,49515,-52057
33011,-231980,6190,-198969
33012,-965768,49518,-932756
33013,-477754,24760,-444741
33014,-893752,49521,-860738
33015,-178712,12381,-145697
33017,-64095,24763,-31078
33018,-258615,49527,-225597
33019,-342207,3096,-309188
33022,-294359,49533,-261337
33023,-416456,12384,-383433
33025,-176752,24769,-143727
33026,-172353,49539,-139327
33027,-129373,6193,-96346
33028,-330884,49542,-297856
33029,-263418,24772,-230389
33030,-215693,49545,-182663
33031,-211024,12387,-177993
33032,-400533,49548,-367501
33033,-230382,24775,-197349
33034,-413239,49551,-380205
33035,-200336,1549,-167301
33036,-169300,49554,-136264
33037,-130010,24778,-96973
33038,-778989,49557,-745951
33039,-99537,12390,-66498
33040,-772040,49560,-739000
33041,-133712,24781,-100671
33042,-251842,49563,-218800
33043,-180178,6196,-147135
33044,-328077,49566,-295033
33045,-872412,24784,-839367
33046,-310522,49569,-277476
33047,-78652,12393,-45605
33048,-1002482,49572,-969434
33049,-106881,24787,-73832
33050,-145613,49575,-112563
33051,-46633,3099,-13582
33053,-368858,24790,-335805
33054,-348252,49581,-315198
33055,-167895,12396,-134840
33057,-246621,24793,-213564
33058,-272579,49587,-239521
33059,-135802,6199,-102743
33060,-478641,49590,-445581
33061,-228588,24796,-195527
33062,-214069,49593,-181007
33063,-149562,12399,-116499
33064,-413130,49596,-380066
33067,-52894,388,-19827
33068,-304619,49602,-271551
33069,-785615,24802,-752546
33070,-726116,49605,-693046
33071,-74268,12402,-41197
33072,-668106,49608,-635034
33073,-347593,24805,-314520
33074,-93140,49611,-60066
33075,-56709,6202,-23634
33076,-786426,49614,-753350
33077,-533862,24808,-500785
33078,-651722,49617,-618644
33079,-818743,12405,-785664
33080,-1057411,49620,-1024331
33081,-77331,24811,-44250
33082,-248417,49623,-215335
33083,-61395,3102,-28312
33084,-198205,49626,-165121
33085,-274743,24814,-241658
33086,-291658,49629,-258572
33087,-583843,12408,-550756
33089,-204652,24817,-171563
33090,-110889,49635,-77799
33091,-203106,6205,-170015
33092,-238278,49638,-205186
33093,-554311,24820,-521218
33094,-301810,49641,-268716
33095,-68364,12411,-35269
33096,-962180,49644,-929084
33097,-108176,24823,-75079
33098,-163255,49647,-130157
33099,-92794,1552,-59695
33100,-178919,49650,-145819
33101,-187137,24826,-154036
33105,-257265,24829,-224160
33106,-177501,49659,-144395
33107,-293308,6208,-260201
33108,-929014,49662,-895906
33110,-198679,49665,-165569
33111,-83265,12417,-50154
33112,-407171,49668,-374059
33113,-91304,24835,-58191
33114,-130111,49671,-96997
33115,-59398,3105,-26283
33116,-272826,49674,-239710
33117,-156220,24838,-123103
33118,-361569,49677,-328451
33119,-688167,12420,-655048
33121,-102682,24841,-69561
33122,-180451,49683,-147329
33123,-61458,6211,-28335
33124,-320778,49686,-287654
33125,-177389,24844,-144264
33126,-170358,49689,-137232
33127,-71168,12423,-38041
33128,-767295,49692,-734167
33129,-184308,24847,-151179
33130,-263900,49695,-230770
33131,-44847,777,-11716
33132,-290773,49698,-257641
33133,-118838,24850,-85705
33135,-250927,12426,-217792
33136,-600060,49704,-566924
33137,-1098292,24853,-1065155
33138,-93784,49707,-60646
33139,-77692,6214,-44553
33142,-293278,49713,-260136
33143,-106308,12429,-73165
33145,-70691,24859,-37546
33147,-82879,3108,-49732
33148,-489901,49722,-456753
33149,-191378,24862,-158229
33150,-618987,49725,-585837
33151,-263636,12432,-230485
33153,-113742,24865,-80589
33154,-130160,49731,-97006
33155,-83028,6217,-49873
33156,-479843,49734,-446687
33157,-289474,24868,-256317
33158,-403332,49737,-370174
33159,-92603,12435,-59444
33160,-306669,49740,-273509
33161,-112036,24871,-78875
33162,-240529,49743,-207367
33163,-37533,1555,-4370
33164,-349755,49746,-316591
33165,-356224,24874,-323059
33167,-246597,12438,-213430
33168,-1072606,49752,-1039438
33169,-416831,24877,-383662
33170,-101226,49755,-68056
33171,-72853,6220,-39682
33173,-497744,24880,-464571
33174,-224174,49761,-191000
33175,-408417,12441,-375242
33176,-491786,49764,-458610
33177,-421445,24883,-388268
33178,-460327,49767,-427149
33179,-39980,3111,-6801
33180,-458847,49770,-425667
33181,-225430,24886,-192249
33182,-536531,49773,-503349
33183,-423440,12444,-390257
33185,-79264,24889,-46079
33186,-183732,49779,-150546
33187,-52698,6223,-19511
33188,-2144542,49782,-2111354
33189,-174302,24892,-141113
33190,-131268,49785,-98078
33191,-72638,12447,-39447
33192,-405934,49788,-372742
33195,-43660,195,-10465
33196,-611336,49794,-578140
33197,-104530,24898,-71333
33198,-631752,49797,-598554
33199,-119347,12450,-86148
33200,-448808,49800,-415608
33202,-90436,49803,-57234
33203,-53864,6226,-20661
33205,-1079854,24904,-1046649
33206,-191845,49809,-158639
33207,-128830,12453,-95623
33208,-743605,49812,-710397
33209,-155793,24907,-122584
33210,-119937,49815,-86727
33211,-137505,3114,-104294
33212,-248212,49818,-215000
33214,-1746377,49821,-1713163
33215,-470065,12456,-436850
33217,-207222,24913,-174005
33218,-216436,49827,-183218
33219,-294031,6229,-260812
33220,-334398,49830,-301178
33221,-992835,24916,-959614
33222,-635714,49833,-602492
33223,-55952,12459,-22729
33224,-401118,49836,-367894
33225,-85742,24919,-52517
33226,-141034,49839,-107808
33227,-40994,1558,-7767
33228,-804940,49842,-771712
33229,-753155,24922,-719926
33230,-527073,49845,-493843
33231,-155205,12462,-121974
33233,-772812,24925,-739579
33234,-96889,49851,-63655
33235,-756024,6232,-722789
33236,-1044549,49854,-1011313
33238,-567929,49857,-534691
33239,-109078,12465,-75839
33240,-355018,49860,-321778
33241,-65926,24931,-32685
33242,-104883,49863,-71641
33243,-44407,3117,-11164
33244,-251291,49866,-218047
33245,-164969,24934,-131724
33246,-233737,49869,-200491
33247,-673530,12468,-640283
33249,-126669,24937,-93420
33250,-183464,49875,-150214
33251,-41658,6235,-8407
33252,-421317,49878,-388065
33253,-206816,24940,-173563
33254,-131736,49881,-98482
33255,-233372,12471,-200117
33256,-568590,49884,-535334
33257,-261046,24943,-227789
33258,-341528,49887,-308270
33259,-38112,780,-4853
33260,-712665,49890,-679405
33261,-97213,24946,-63952
33262,-277244,49893,-243982
33263,-532353,12474,-499090
33264,-1314730,49896,-1281466
33265,-497692,24949,-464427
33266,-87238,49899,-53972
33267,-533629,6238,-500362
33268,-878339,49902,-845071
33270,-441853,49905,-408583
33271,-352602,12477,-319331
33273,-81687,24955,-48414
33274,-472805,49911,-439531
33275,-82815,3120,-49540
33276,-246807,49914,-213531
33277,-853498,24958,-820221
33278,-412686,49917,-379408
33279,-522933,12480,-489654
33281,-107152,24961,-73871
33282,-116394,49923,-83112
33283,-56071,6241,-22788
33284,-246870,49926,-213586
33285,-730294,24964,-697009
33286,-143060,49929,-109774
33287,-62502,12483,-29215
33288,-359207,49932,-325919
33289,-82010,24967,-48721
33290,-158145,49935,-124855
33291,-37927,1561,-4636
33292,-177795,49938,-144503
33293,-186467,24970,-153174
33295,-579447,12486,-546152
33297,-657677,24973,-624380
33298,-89832,49947,-56534
33299,-164213,6244,-130914
33300,-598821,49950,-565521
33301,-787793,24976,-754492
33302,-269939,49953,-236637
33303,-62290,12489,-28987
33304,-673318,49956,-640014
33305,-81516,24979,-48211
33306,-120548,49959,-87242
33307,-39579,3123,-6272
33308,-419193,49962,-385885
33309,-630427,24982,-597118
33310,-698670,49965,-665360
33311,-97890,12492,-64579
33313,-89746,24985,-56433
33314,-115905,49971,-82591
33315,-44468,6247,-11153
33316,-951427,49974,-918111
33317,-719806,24988,-686489
33318,-123341,49977,-90023
33319,-256338,12495,-223019
33320,-323245,49980,-289925
33321,-296366,24991,-263045
33322,-583144,49983,-549822
33323,-44094,391,-10771
33324,-174032,49986,-140708
33325,-152938,24994,-119613
33326,-1436884,49989,-1403558
33327,-87693,12498,-54366
33328,-1519399,49992,-1486071
33329,-177721,24997,-144392
33330,-119118,49995,-85788
33331,-82405,6250,-49074
33333,-324090,25000,-290757
33334,-315865,50001,-282531
33335,-367531,12501,-334196
33336,-767554,50004,-734218
33337,-68720,25003,-35383
33338,-258761,50007,-225423
33339,-100454,3126,-67115
33340,-193125,50010,-159785
33342,-310209,50013,-276867
33343,-189922,12504,-156579
33345,-371146,25009,-337801
33346,-112726,50019,-79380
33347,-69548,6253,-36201
33348,-454506,50022,-421158
33350,-671935,50025,-638585
33351,-72610,12507,-39259
33352,-324609,50028,-291257
33353,-139169,25015,-105816
33354,-194674,50031,-161320
33355,-65483,1564,-32128
33356,-184020,50034,-150664
33357,-138093,25018,-104736
33358,-784355,50037,-750997
33359,-135302,12510,-101943
33362,-182775,50043,-149413
33363,-185029,6256,-151666
33364,-932173,50046,-898809
33366,-193599,50049,-160233
33367,-221025,12513,-187658
33368,-486243,50052,-452875
33369,-290216,25027,-256847
33370,-329323,50055,-295953
33371,-49080,3129,-15709
33372,-1221873,50058,-1188501
33373,-893263,25030,-859890
33375,-220104,12516,-186729
33377,-97112,25033,-63735
33378,-135643,50067,-102265
33379,-71351,6259,-37972
33380,-276618,50070,-243238
33381,-174792,25036,-141411
33382,-158464,50073,-125082
33383,-81136,12519,-47753
33384,-521647,50076,-488263
33385,-158362,25039,-124977
33386,-238569,50079,-205183
33387,-45352,783,-11965
33388,-231980,50082,-198592
33389,-132256,25042,-98867
33390,-415326,50085,-381936
33391,-133668,12522,-100277
33392,-601107,50088,-567715
33393,-1106926,25045,-1073533
33394,-94667,50091,-61273
33395,-246004,6262,-212609
33396,-902322,50094,-868926
33397,-326781,25048,-293384
33398,-457543,50097,-424145
33399,-100682,12525,-67283
33401,-95818,25051,-62417
33402,-186355,50103,-152953
33403,-81535,3132,-48132
33404,-238743,50106,-205339
33405,-209146,25054,-175741
33406,-600404,50109,-566998
33407,-699051,12528,-665644
33409,-136610,25057,-103201
33410,-176281,50115,-142871
33411,-55263,6265,-21852
33412,-1029775,50118,-996363
33413,-552344,25060,-518931
33414,-190476,50121,-157062
33415,-132756,12531,-99341
33416,-308891,50124,-275475
33417,-152339,25063,-118922
33419,-47895,1567,-14476
33420,-254661,50130,-221241
33421,-248082,25066,-214661
33423,-579288,12534,-545865
33424,-661345,50136,-627921
33425,-115946,25069,-82521
33426,-135695,50139,-102269
33427,-107103,6268,-73676
33428,-382238,50142,-348810
33429,-1039571,25072,-1006142
33430,-210483,50145,-177053
33431,-67692,12537,-34261
33432,-566990,50148,-533558
33433,-154707,25075,-121274
33434,-193889,50151,-160455
33435,-53299,3135,-19864
33437,-1022909,25078,-989472
33438,-189079,50157,-155641
33441,-92886,25081,-59445
33442,-195734,50163,-162292
33443,-74928,6271,-41485
33444,-985719,50166,-952275
33445,-290113,25084,-256668
33446,-154104,50169,-120658
33447,-246926,12543,-213479
33448,-511442,50172,-477994
33449,-437599,25087,-404150
33451,-33524,25,-73
33452,-209311,50178,-175859
33453,-134741,25090,-101288
33454,-374585,50181,-341131
33455,-74028,12546,-40573
33456,-479323,50184,-445867
33457,-245880,25093,-212423
33458,-95346,50187,-61888
33459,-58492,6274,-25033
33461,-346840,25096,-313379
33462,-327167,50193,-293705
33463,-108641,12549,-75178
33464,-1079409,50196,-1045945
33465,-61274,25099,-27809
33466,-128163,50199,-94697
33467,-42845,3138,-9378
33468,-1130669,50202,-1097201
33470,-256215,50205,-222745
33471,-179444,12552,-145973
33473,-195675,25105,-162202
33474,-97281,50211,-63807
33475,-78989,6277,-45514
33476,-216152,50214,-182676
33477,-384654,25108,-351177
33478,-197376,50217,-163898
33479,-48212,12555,-14733
33480,-395589,50220,-362109
33481,-90755,25111,-57274
33482,-146473,50223,-112991
33483,-38997,1570,-5514
33484,-186873,50226,-153389
33485,-134689,25114,-101204
33486,-691438,50229,-657952
33487,-272180,12558,-238693
33489,-162630,25117,-129141
33490,-113958,50235,-80468
33491,-97675,6280,-64184
33492,-947631,50238,-914139
33493,-664262,25120,-630769
33494,-267453,50241,-233959
33495,-89282,12561,-55787
33496,-420489,50244,-386993
33497,-66245,25123,-32748
33498,-105502,50247,-72004
33499,-80661,3141,-47162
33500,-1224916,50250,-1191416
33501,-125730,25126,-92229
33502,-406130,50253,-372628
33503,-157522,12564,-124019
33505,-139908,25129,-106403
33506,-763771,50259,-730265
33507,-50401,6283,-16894
33508,-725102,50262,-691594
33509,-163973,25132,-130464
33510,-241297,50265,-207787
33511,-92496,12567,-58985
33512,-981767,50268,-948255
33513,-120383,25135,-86870
33514,-960649,50271,-927135
33515,-45796,786,-12281
33516,-249810,50274,-216294
33517,-144090,25138,-110573
33518,-299752,50277,-266234
33519,-117975,12570,-84456
33521,-264025,25141,-230504
33522,-95300,50283,-61778
33523,-216552,6286,-183029
33524,-999068,50286,-965544
33525,-581185,25144,-547660
33527,-426001,12573,-392474
33528,-1079478,50292,-1045950
33529,-88953,25147,-55424
33530,-142265,50295,-108735
33531,-80805,3144,-47274
33532,-408699,50298,-375167
33533,-236553,25150,-203020
33534,-360629,50301,-327095
33535,-329807,12576,-296272
33537,-392015,25153,-358478
33538,-102973,50307,-69435
33539,-54683,6289,-21144
33540,-282498,50310,-248958
33542,-142341,50313,-108799
33543,-60198,12579,-26655
33544,-441123,50316,-407579
33545,-79856,25159,-46311
33546,-232876,50319,-199330
33547,-50893,1573,-17346
33548,-235804,50322,-202256
33549,-195905,25162,-162356
33550,-762490,50325,-728940
33551,-89993,12582,-56442
33552,-776746,50328,-743194
33553,-125278,25165,-91725
33554,-103197,50331,-69643
33555,-1349936,6292,-1316381
33556,-1564887,50334,-1531331
33558,-162786,50337,-129228
33559,-131567,12585,-98008
33561,-174172,25171,-140611
33562,-213504,50343,-179942
33563,-38830,3147,-5267
33565,-171165,25174,-137600
33566,-236158,50349,-202592
33567,-118612,12588,-85045
33569,-173266,25177,-139697
33570,-199626,50355,-166056
33571,-54203,6295,-20632
33572,-419276,50358,-385704
33573,-407228,25180,-373655
33574,-133682,50361,-100108
33575,-68176,12591,-34601
33576,-1297847,50364,-1264271
33579,-36536,394,-2957
33580,-192940,50370,-159360
33581,-140165,25186,-106584
33583,-73664,12594,-40081
33584,-493704,50376,-460120
33585,-154812,25189,-121227
33586,-97580,50379,-63994
33587,-60585,6298,-26998
33589,-437786,25192,-404197
33590,-371867,50385,-338277
33591,-231880,12597,-198289
33592,-583982,50388,-550390
33593,-61351,25195,-27758
33594,-204478,50391,-170884
33595,-81488,3150,-47893
33596,-199957,50394,-166361
33597,-318629,25198,-285032
33598,-230384,50397,-196786
33599,-349186,12600,-315587
33601,-594524,25201,-560923
33602,-95428,50403,-61826
33603,-119623,6301,-86020
33604,-242561,50406,-208957
33605,-766942,25204,-733337
33606,-219854,50409,-186248
33607,-53376,12603,-19769
33608,-493156,50412,-459548
33609,-87379,25207,-53770
33610,-143310,50415,-109700
33611,-49297,1576,-15686
33612,-165641,50418,-132029
33613,-176294,25210,-142681
33615,-156505,12606,-122890
33617,-208230,25213,-174613
33618,-566593,50427,-532975
33619,-596789,6304,-563170
33620,-672647,50430,-639027
33622,-269999,50433,-236377
33623,-112152,12609,-78529
33624,-484593,50436,-450969
33625,-68870,25219,-35245
33626,-108277,50439,-74651
33627,-53698,3153,-20071
33628,-1058964,50442,-1025336
33629,-185144,25222,-151515
33630,-273328,50445,-239698
33631,-122069,12612,-88438
33633,-97651,25225,-64018
33634,-288869,50451,-255235
33635,-44401,6307,-10766
33636,-269221,50454,-235585
33637,-174897,25228,-141260
33638,-597798,50457,-564160
33639,-54261,12615,-20622
33641,-207081,25231,-173440
33642,-287903,50463,-254261
33643,-67187,789,-33544
33644,-196711,50466,-163067
33645,-111760,25234,-78115
33646,-491449,50469,-457803
33647,-91756,12618,-58109
33648,-685717,50472,-652069
33649,-789009,25237,-755360
33650,-116880,50475,-83230
33651,-59357,6310,-25706
33652,-930175,50478,-896523
33653,-541626,25240,-507973
33654,-457161,50481,-423507
33655,-88767,12621,-55112
33657,-93430,25243,-59773
33659,-367266,3156,-333607
33660,-554190,50490,-520530
33661,-169947,25246,-136286
33662,-564146,50493,-530484
33663,-631678,12624,-598015
33665,-123329,25249,-89664
33666,-174812,50499,-141146
33667,-90836,6313,-57169
33668,-325436,50502,-291768
33669,-1194412,25252,-1160743
33670,-205654,50505,-171984
33671,-224088,12627,-190417
33672,-317930,50508,-284258
33673,-243821,25255,-210148
33674,-282830,50511,-249156
33675,-35302,1579,-1627
33676,-469887,50514,-436211
33679,-104900,12630,-71221
33680,-836995,50520,-803315
33681,-141935,25261,-108254
33682,-103223,50523,-69541
33683,-74412,6316,-40729
33684,-439872,50526,-406188
33685,-402149,25264,-368464
33686,-169257,50529,-135571
33687,-70375,12633,-36688
33688,-610368,50532,-576680
33689,-83604,25267,-49915
33690,-123086,50535,-89396
33691,-49754,3159,-16063
33692,-313600,50538,-279908
33693,-216622,25270,-182929
33694,-195801,50541,-162107
33695,-137680,12636,-103985
33697,-89644,25273,-55947
33698,-133072,50547,-99374
33699,-56773,6319,-23074
33701,-228357,25276,-194656
33702,-136555,50553,-102853
33703,-208728,12639,-175025
33704,-381460,50556,-347756
33705,-267881,25279,-234176
33706,-1407188,50559,-1373482
33707,-42969,198,-9262
33708,-380027,50562,-346319
33709,-116855,25282,-83146
33710,-924755,50565,-891045
33711,-169565,12642,-135854
33712,-454740,50568,-421028
33713,-293469,25285,-259756
33714,-121621,50571,-87907
33715,-84485,6322,-50770
33717,-261088,25288,-227371
33718,-216260,50577,-182542
33719,-100965,12645,-67246
33720,-2401565,50580,-2367845
33721,-96497,25291,-62776
33722,-136224,50583,-102502
33723,-77927,3162,-44204
33724,-215370,50586,-181646
33725,-409596,25294,-375871
33726,-886728,50589,-853002
33727,-283473,12648,-249746
33729,-151017,25297,-117288
33730,-108711,50595,-74981
33731,-80602,6325,-46871
33732,-228491,50598,-194759
33733,-503395,25300,-469662
