D,F(D),Sigma(D),F(Sigma(D))
288,-6167,432,-5879
289,-760,217,-471
290,-990,435,-700
291,-10483,55,-10192
292,-2815,438,-2523
293,-2197,220,-1904
294,-11182,441,-10888
295,-10611,111,-10316
296,-3572,444,-3276
297,-9064,223,-8767
298,-10113,447,-9815
299,-328,4,-29
300,-12029,450,-11729
301,-3654,226,-3353
302,-7203,453,-6901
303,-588,114,-285
304,-4769,456,-4465
305,-11616,229,-11311
306,-893,459,-587
307,-558,58,-251
308,-6836,462,-6528
309,-13376,232,-13067
310,-12390,465,-12080
311,-9910,117,-9599
312,-16229,468,-15917
313,-573,235,-260
314,-12343,471,-12029
315,-525,30,-210
316,-1831,474,-1515
317,-2285,238,-1968
318,-2454,477,-2136
319,-6063,120,-5744
320,-48860,480,-48540
321,-1976,241,-1655
322,-915,483,-593
323,-10228,61,-9905
324,-2268,486,-1944
325,-16276,244,-15951
326,-11204,489,-10878
327,-510,123,-183
328,-19102,492,-18774
329,-1133,247,-804
330,-1684,495,-1354
331,-10447,16,-10116
332,-1625,498,-1293
333,-1750,250,-1417
334,-34520,501,-34186
335,-8795,126,-8460
336,-46877,504,-46541
337,-3255,253,-2918
338,-11322,507,-10984
339,-3127,64,-2788
340,-6448,510,-6108
341,-28317,256,-27976
342,-2000,513,-1658
343,-10834,129,-10491
344,-4176,516,-3832
345,-10923,259,-10578
346,-11330,519,-10984
347,-453,33,-106
348,-12835,522,-12487
349,-11615,262,-11266
350,-3832,525,-3482
351,-9745,132,-9394
352,-443835,528,-443483
353,-921,265,-568
354,-12133,531,-11779
355,-485,67,-130
356,-5616,534,-5260
357,-1730,268,-1373
358,-1659,537,-1301
359,-595,135,-236
360,-7390,540,-7030
361,-1130,271,-769
362,-2002,543,-1640
363,-382,9,-19
364,-2307,546,-1943
365,-1129,274,-764
366,-15707,549,-15341
367,-10389,138,-10022
368,-5765,552,-5397
369,-17083,277,-16714
370,-935,555,-565
371,-835,70,-464
372,-26466,558,-26094
373,-11047,280,-10674
374,-3187,561,-2813
375,-1167,141,-792
376,-33685,564,-33309
377,-690,283,-313
378,-8948,567,-8570
379,-10455,36,-10076
380,-3781,570,-3401
381,-2011,286,-1630
382,-18263,573,-17881
383,-3011,144,-2628
384,-27720,576,-27336
385,-1145,289,-760
386,-1339,579,-953
387,-10652,73,-10265
388,-19827,582,-19439
389,-3204,292,-2815
390,-2562,585,-2172
391,-10771,147,-10380
392,-13301,588,-12909
393,-11004,295,-10611
394,-2957,591,-2563
395,-443,19,-48
396,-10425,594,-10029
397,-10510,298,-10113
398,-56578,597,-56180
399,-11547,150,-11148
400,-10195,600,-9795
401,-4055,301,-3654
402,-1105,603,-703
403,-764,76,-361
404,-31344,606,-30940
405,-5174,304,-4769
406,-12306,609,-11900
407,-803,153,-396
408,-15606,612,-15198
409,-967,307,-558
410,-1449,615,-1039
411,-490,39,-79
412,-14792,618,-14380
413,-12803,310,-12390
414,-2413,621,-1999
415,-10550,156,-10135
416,-21549,624,-21133
417,-990,313,-573
418,-12721,627,-12303
419,-708,79,-289
420,-10394,630,-9974
421,-2252,316,-1831
422,-1710,633,-1288
423,-968,159,-545
424,-4746,636,-4322
425,-6488,319,-6063
426,-8695,639,-8269
427,-430,3,-3
428,-3447,642,-3019
429,-1344,322,-915
430,-17308,645,-16878
431,-10680,162,-10249
432,-5879,648,-5447
433,-16709,325,-16276
