src,dst,kappa,delta,w_raw,w_aug
29,43,1,0.008412239816,0.584962500721,0.593374740537
29,9863,2,0.008412239816,-0.415037499279,-0.406625259463
30,9886,1,0.008127880883,0.584962500721,0.593090381605
30,4943,2,0.008127880883,-0.415037499279,-0.406909618395
31,46,1,0.007862117773,0.584962500721,0.592824618494
31,23,2,0.007862117773,-0.415037499279,-0.407175381506
32,9889,1,0.007613184110,0.584962500721,0.592575684831
32,14786,2,0.007613184110,-0.415037499279,-0.407424315169
33,49,1,0.007379530366,0.584962500721,0.592342031087
33,9866,2,0.007379530366,-0.415037499279,-0.407657968913
34,9892,1,0.007159791573,0.584962500721,0.592122292294
34,4946,2,0.007159791573,-0.415037499279,-0.407877707706
35,52,1,0.006952760642,0.584962500721,0.591915261363
35,26,2,0.006952760642,-0.415037499279,-0.408084738637
36,9895,1,0.006757366175,0.584962500721,0.591719866896
36,14789,2,0.006757366175,-0.415037499279,-0.408280133104
37,55,1,0.006572653923,0.584962500721,0.591535154645
37,9869,2,0.006572653923,-0.415037499279,-0.408464845355
38,9898,1,0.006397771198,0.584962500721,0.591360271919
38,4949,2,0.006397771198,-0.415037499279,-0.408639728081
39,58,1,0.006231953712,0.584962500721,0.591194454433
39,29,2,0.006231953712,-0.415037499279,-0.408805545567
40,9901,1,0.006074514410,0.584962500721,0.591037015131
40,14792,2,0.006074514410,-0.415037499279,-0.408962984869
41,61,1,0.005924833957,0.584962500721,0.590887334678
41,9872,2,0.005924833957,-0.415037499279,-0.409112665322
42,9904,1,0.005782352594,0.584962500721,0.590744853315
42,4952,2,0.005782352594,-0.415037499279,-0.409255146685
43,64,1,0.005646563141,0.584962500721,0.590609063862
43,32,2,0.005646563141,-0.415037499279,-0.409390936138
44,9907,1,0.005517004968,0.584962500721,0.590479505689
44,14795,2,0.005517004968,-0.415037499279,-0.409520494311
45,67,1,0.005393258770,0.584962500721,0.590355759491
45,9875,2,0.005393258770,-0.415037499279,-0.409644240509
46,9910,1,0.005274942041,0.584962500721,0.590237442762
46,4955,2,0.005274942041,-0.415037499279,-0.409762557238
47,70,1,0.005161705116,0.584962500721,0.590124205837
47,35,2,0.005161705116,-0.415037499279,-0.409875794163
48,9913,1,0.005053227726,0.584962500721,0.590015728447
48,14798,2,0.005053227726,-0.415037499279,-0.409984271553
49,73,1,0.004949215972,0.584962500721,0.589911716693
49,9878,2,0.004949215972,-0.415037499279,-0.410088283307
50,9916,1,0.004849399661,0.584962500721,0.589811900383
50,4958,2,0.004849399661,-0.415037499279,-0.410188099617
51,76,1,0.004753529971,0.584962500721,0.589716030692
51,38,2,0.004753529971,-0.415037499279,-0.410283969308
52,9919,1,0.004661377370,0.584962500721,0.589623878091
52,14801,2,0.004661377370,-0.415037499279,-0.410376121909
53,79,1,0.004572729790,0.584962500721,0.589535230511
53,9881,2,0.004572729790,-0.415037499279,-0.410464769489
54,9922,1,0.004487390992,0.584962500721,0.589449891713
54,4961,2,0.004487390992,-0.415037499279,-0.410550108287
55,82,1,0.004405179120,0.584962500721,0.589367679841
55,41,2,0.004405179120,-0.415037499279,-0.410632320159
56,9925,1,0.004325925403,0.584962500721,0.589288426124
56,14804,2,0.004325925403,-0.415037499279,-0.410711573876
57,85,1,0.004249473001,0.584962500721,0.589211973723
57,9884,2,0.004249473001,-0.415037499279,-0.410788026277
58,9928,1,0.004175675971,0.584962500721,0.589138176692
58,4964,2,0.004175675971,-0.415037499279,-0.410861823308
59,88,1,0.004104398333,0.584962500721,0.589066899054
59,44,2,0.004104398333,-0.415037499279,-0.410933100946
60,9931,1,0.004035513235,0.584962500721,0.588998013956
60,14807,2,0.004035513235,-0.415037499279,-0.411001986044
61,91,1,0.003968902203,0.584962500721,0.588931402924
61,9887,2,0.003968902203,-0.415037499279,-0.411068597076
62,9934,1,0.003904454456,0.584962500721,0.588866955177
62,4967,2,0.003904454456,-0.415037499279,-0.411133044823
63,94,1,0.003842066294,0.584962500721,0.588804567016
63,47,2,0.003842066294,-0.415037499279,-0.411195432984
64,9937,1,0.003781640542,0.584962500721,0.588744141264
64,14810,2,0.003781640542,-0.415037499279,-0.411255858736
65,97,1,0.003723086043,0.584962500721,0.588685586764
65,9890,2,0.003723086043,-0.415037499279,-0.411314413236
66,9940,1,0.003666317198,0.584962500721,0.588628817919
66,4970,2,0.003666317198,-0.415037499279,-0.411371182081
67,100,1,0.003611253552,0.584962500721,0.588573754274
67,50,2,0.003611253552,-0.415037499279,-0.411426245726
68,9943,1,0.003557819413,0.584962500721,0.588520320134
68,14813,2,0.003557819413,-0.415037499279,-0.411479679866
69,103,1,0.003505943502,0.584962500721,0.588468444223
69,9893,2,0.003505943502,-0.415037499279,-0.411531555777
70,9946,1,0.003455558636,0.584962500721,0.588418059357
70,4973,2,0.003455558636,-0.415037499279,-0.411581940643
71,106,1,0.003406601443,0.584962500721,0.588369102164
71,53,2,0.003406601443,-0.415037499279,-0.411630897836
72,9949,1,0.003359012090,0.584962500721,0.588321512811
72,14816,2,0.003359012090,-0.415037499279,-0.411678487189
73,109,1,0.003312734041,0.584962500721,0.588275234762
73,9896,2,0.003312734041,-0.415037499279,-0.411724765238
74,9952,1,0.003267713834,0.584962500721,0.588230214555
74,4976,2,0.003267713834,-0.415037499279,-0.411769785445
75,112,1,0.003223900874,0.584962500721,0.588186401595
75,56,2,0.003223900874,-0.415037499279,-0.411813598405
76,9955,1,0.003181247245,0.584962500721,0.588143747966
76,14819,2,0.003181247245,-0.415037499279,-0.411856252034
77,115,1,0.003139707531,0.584962500721,0.588102208252
77,9899,2,0.003139707531,-0.415037499279,-0.411897791748
78,9958,1,0.003099238659,0.584962500721,0.588061739380
78,4979,2,0.003099238659,-0.415037499279,-0.411938260620
79,118,1,0.003059799749,0.584962500721,0.588022300470
79,59,2,0.003059799749,-0.415037499279,-0.411977699530
80,9961,1,0.003021351975,0.584962500721,0.587983852696
80,14822,2,0.003021351975,-0.415037499279,-0.412016147304
81,121,1,0.002983858439,0.584962500721,0.587946359160
81,9902,2,0.002983858439,-0.415037499279,-0.412053640840
82,9964,1,0.002947284050,0.584962500721,0.587909784771
82,4982,2,0.002947284050,-0.415037499279,-0.412090215229
83,124,1,0.002911595420,0.584962500721,0.587874096141
83,62,2,0.002911595420,-0.415037499279,-0.412125903859
84,9967,1,0.002876760756,0.584962500721,0.587839261477
84,14825,2,0.002876760756,-0.415037499279,-0.412160738523
85,127,1,0.002842749769,0.584962500721,0.587805250490
85,9905,2,0.002842749769,-0.415037499279,-0.412194749510
86,9970,1,0.002809533587,0.584962500721,0.587772034308
86,4985,2,0.002809533587,-0.415037499279,-0.412227965692
87,130,1,0.002777084671,0.584962500721,0.587739585392
